"Interval,time,open,high,low,close,volume,rsi,macd,macd_avg,macd_diff,sma20,sma50,sma200,ema20,ema50,ema200,stochrsi,bb_upper,bb_lower,adx,VolAvg20,VolAvg50"
"15min,2023-01-20 09:00:00,387.6,388.2,387.5,388.19,93403,55.3,0.1,0.06,0.04,387.75,387.86,391.79,387.86,387.9,390.39,0.62,0.0,0.0,23.34,47432.85,1051244.52"
"30min,2023-01-20 09:00:00,387.6,388.72,387.5,388.57,350901,55.86,-0.06,-0.19,0.13,387.71,387.97,392.98,387.86,388.76,390.78,1.0,1.0,0.0,14.01,1411827.95,1743088.64"
"60min,2023-01-20 09:00:00,387.6,388.72,386.89,388.21,7008474,46.11,-0.88,-1.22,0.34,387.58,391.62,388.25,388.32,390.28,389.48,1.0,0.0,0.0,21.73,4621123.05,4949598.24"
"5min,2023-01-23 09:00:00,395.04,395.13,394.9,394.92,29978,55.08,0.2,0.22,-0.02,394.82,394.33,392.59,394.8,394.5,392.85,0.1,0.0,0.0,30.07,42910.4,21578.58"
"15min,2023-01-23 09:00:00,395.04,395.13,394.55,394.77,198576,58.42,0.35,0.32,0.03,394.33,393.82,390.69,394.46,393.46,391.72,0.52,0.0,0.0,39.22,63695.3,1000365.56"
"30min,2023-01-23 09:00:00,395.04,395.35,394.55,395.21,325132,70.42,0.97,1.07,-0.1,394.39,391.14,393.12,393.91,392.26,391.44,0.6,1.0,0.0,36.37,1201662.6,1837739.52"
"60min,2023-01-23 09:00:00,395.04,396.77,394.2,396.32,7544704,74.89,1.53,1.21,0.32,392.32,390.65,389.26,392.92,391.9,390.07,1.0,0.0,0.0,27.07,4857586.75,5547075.06"
"5min,2023-01-25 12:35:00,395.2,395.58,395.19,395.49,391115,61.5,0.39,0.37,0.02,394.91,394.3,396.84,394.94,394.73,396.12,0.39,0.0,0.0,35.71,712507.25,795382.46"
"15min,2023-01-25 12:30:00,395.16,395.91,395.13,395.68,1507155,55.87,-0.22,-0.54,0.32,394.52,396.15,396.45,394.87,395.78,395.88,0.99,0.0,0.0,24.05,2027355.0,866936.44"
"30min,2023-01-25 12:30:00,395.16,395.95,395.13,395.69,2346030,48.7,-0.77,-0.91,0.15,395.38,397.24,394.02,395.51,396.38,394.51,1.0,0.0,0.0,19.88,2105898.4,2013599.04"
